0,0,0,0,0,0,0
2.2074e-08,0,-2.2074e-08,0,4.4148e-08,0,-4.4148e-08
1.7541e-07,0,-1.7541e-07,0,3.5081e-07,0,-3.5081e-07
5.88e-07,0,-5.88e-07,0,1.176e-06,0,-1.176e-06
1.3843e-06,0,-1.3843e-06,0,2.7686e-06,0,-2.7686e-06
2.6852e-06,0,-2.6852e-06,0,5.3704e-06,0,-5.3704e-06
4.608e-06,0,-4.608e-06,0,9.216e-06,0,-9.216e-06
7.2665e-06,0,-7.2665e-06,0,1.4533e-05,0,-1.4533e-05
1.0771e-05,0,-1.0771e-05,0,2.1542e-05,0,-2.1542e-05
1.5228e-05,0,-1.5228e-05,0,3.0456e-05,0,-3.0456e-05
2.0741e-05,0,-2.0741e-05,0,4.1481e-05,0,-4.1481e-05
2.7409e-05,0,-2.7409e-05,0,5.4817e-05,0,-5.4817e-05
3.5328e-05,0,-3.5328e-05,0,7.0656e-05,0,-7.0656e-05
4.4591e-05,0,-4.4591e-05,0,8.9182e-05,0,-8.9182e-05
5.5287e-05,0,-5.5287e-05,0,0.00011057,0,-0.00011057
6.75e-05,0,-6.75e-05,0,0.000135,0,-0.000135
8.1313e-05,0,-8.1313e-05,0,0.00016263,0,-0.00016263
9.6804e-05,0,-9.6804e-05,0,0.00019361,0,-0.00019361
0.00011405,0,-0.00011405,0,0.0002281,0,-0.0002281
0.00013312,0,-0.00013312,0,0.00026623,0,-0.00026623
0.00015407,0,-0.00015407,0,0.00030815,0,-0.00030815
0.00017699,0,-0.00017699,0,0.00035398,0,-0.00035398
0.00020192,0,-0.00020192,0,0.00040384,0,-0.00040384
0.00022892,0,-0.00022892,0,0.00045784,0,-0.00045784
0.00025805,0,-0.00025805,0,0.0005161,0,-0.0005161
0.00028935,0,-0.00028935,0,0.0005787,0,-0.0005787
0.00032288,0,-0.00032288,0,0.00064576,0,-0.00064576
0.00035867,0,-0.00035867,0,0.00071734,0,-0.00071734
0.00039676,0,-0.00039676,0,0.00079352,0,-0.00079352
0.0004372,0,-0.0004372,0,0.00087439,0,-0.00087439
0.00048,0,-0.00048,0,0.00096,0,-0.00096
0.0005252,0,-0.0005252,0,0.0010504,0,-0.0010504
0.00057283,0,-0.00057283,0,0.0011457,0,-0.0011457
0.00062291,0,-0.00062291,0,0.0012458,0,-0.0012458
0.00067545,0,-0.00067545,0,0.0013509,0,-0.0013509
0.00073046,0,-0.00073046,0,0.0014609,0,-0.0014609
0.00078797,0,-0.00078797,0,0.0015759,0,-0.0015759
0.00084797,0,-0.00084797,0,0.0016959,0,-0.0016959
0.00091047,0,-0.00091047,0,0.0018209,0,-0.0018209
0.00097547,0,-0.00097547,0,0.0019509,0,-0.0019509
0.001043,0,-0.001043,0,0.0020859,0,-0.0020859
0.0011129,0,-0.0011129,0,0.0022259,0,-0.0022259
0.0011854,0,-0.0011854,0,0.0023708,0,-0.0023708
0.0012603,0,-0.0012603,0,0.0025207,0,-0.0025207
0.0013377,0,-0.0013377,0,0.0026754,0,-0.0026754
0.0014175,0,-0.0014175,0,0.002835,0,-0.002835
0.0014997,0,-0.0014997,0,0.0029994,0,-0.0029994
0.0015843,0,-0.0015843,0,0.0031685,0,-0.0031685
0.0016712,0,-0.0016712,0,0.0033423,0,-0.0033423
0.0017604,0,-0.0017604,0,0.0035208,0,-0.0035208
0.0018519,0,-0.0018519,0,0.0037037,0,-0.0037037
0.0019455,0,-0.0019455,0,0.0038911,0,-0.0038911
0.0020414,0,-0.0020414,0,0.0040828,0,-0.0040828
0.0021394,0,-0.0021394,0,0.0042788,0,-0.0042788
0.0022395,0,-0.0022395,0,0.004479,0,-0.004479
0.0023416,0,-0.0023416,0,0.0046831,0,-0.0046831
0.0024456,0,-0.0024456,0,0.0048912,0,-0.0048912
0.0025515,0,-0.0025515,0,0.0051031,0,-0.0051031
0.0026593,0,-0.0026593,0,0.0053186,0,-0.0053186
0.0027688,0,-0.0027688,0,0.0055376,0,-0.0055376
0.00288,0,-0.00288,0,0.00576,0,-0.00576
0.0029928,0,-0.0029928,0,0.0059856,0,-0.0059856
0.0031071,0,-0.0031071,0,0.0062142,0,-0.0062142
0.0032228,0,-0.0032228,0,0.0064457,0,-0.0064457
0.0033399,0,-0.0033399,0,0.0066798,0,-0.0066798
0.0034582,0,-0.0034582,0,0.0069165,0,-0.0069165
0.0035777,0,-0.0035777,0,0.0071555,0,-0.0071555
0.0036983,0,-0.0036983,0,0.0073965,0,-0.0073965
0.0038198,0,-0.0038198,0,0.0076395,0,-0.0076395
0.0039421,0,-0.0039421,0,0.0078842,0,-0.0078842
0.0040652,0,-0.0040652,0,0.0081304,0,-0.0081304
0.0041889,0,-0.0041889,0,0.0083778,0,-0.0083778
0.0043131,0,-0.0043131,0,0.0086262,0,-0.0086262
0.0044377,0,-0.0044377,0,0.0088754,0,-0.0088754
0.0045625,0,-0.0045625,0,0.009125,0,-0.009125
0.0046875,0,-0.0046875,0,0.009375,0,-0.009375
0.0048125,0,-0.0048125,0,0.009625,0,-0.009625
0.0049375,0,-0.0049375,0,0.009875,0,-0.009875
0.0050625,0,-0.0050625,0,0.010125,0,-0.010125
0.0051875,0,-0.0051875,0,0.010375,0,-0.010375
0.0053125,0,-0.0053125,0,0.010625,0,-0.010625
0.0054375,0,-0.0054375,0,0.010875,0,-0.010875
0.0055625,0,-0.0055625,0,0.011125,0,-0.011125
0.0056875,0,-0.0056875,0,0.011375,0,-0.011375
0.0058125,0,-0.0058125,0,0.011625,0,-0.011625
